,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time,AUC
Linear SVM,0.6289090909090909,0.6323305986022486,0.7146291208791209,0.6709656617765597,,,
Polynomial (degree=2),0.6413636363636364,0.65503300330033,0.6815762362637363,0.6680410636149444,50.31723070144653,2.7201626300811768,0.6887522464735805
Polynomial (degree=3),0.6311363636363636,0.6470980098259639,0.6671531593406593,0.6569725662594581,63.1099853515625,3.321694850921631,0.6745184959879282
Polynomial (degree=4),0.6125454545454545,0.6313267193542963,0.6446600274725275,0.6379237108147141,86.87674450874329,2.514461040496826,0.648258361811223
RBF (gamma=scale),0.6415909090909091,0.6576720020112293,0.6737637362637363,0.665620626775794,50.27890610694885,7.596299409866333,0.6929391232198057
RBF (gamma=auto),0.6419090909090909,0.6580315224681422,0.6738495879120879,0.6658466236851035,52.82372760772705,7.998291730880737,0.6931348188676181
RBF (gamma=0.1),0.6256818181818182,0.6479667042400069,0.6415693681318682,0.6447521677235667,55.96420097351074,8.81665301322937,0.6700298861928258
RBF (gamma=1.0),0.5294545454545454,0.5294545454545454,1.0,0.6923442700903472,45.79012155532837,8.648709774017334,0.5645864471695228
Sigmoid (gamma=scale),0.4910909090909091,0.5208256542572798,0.4852335164835165,0.5024,42.873154640197754,3.1298043727874756,0.4915807248984111
Best Model (Search),0.6255,0.6234876476128378,0.7388392857142857,0.6762799104160937,,,
