feature,importance_variance
MFCCs_ 1,0.02951768893408997
MFCCs_ 2,0.14322259074035812
MFCCs_ 3,0.6440641490263035
MFCCs_ 4,0.387736495205968
MFCCs_ 5,0.9289923429955326
MFCCs_ 6,0.38948970422225654
MFCCs_ 7,0.9706162667238283
MFCCs_ 8,0.37888639095159204
MFCCs_ 9,0.948814864986217
MFCCs_10,0.40588088454420646
MFCCs_11,0.7641573583477046
MFCCs_12,0.7450851657005892
MFCCs_13,0.732123858817401
MFCCs_14,0.7284314590188132
MFCCs_15,0.7123671440385353
MFCCs_16,0.5968754114054647
MFCCs_17,0.7091006282260777
MFCCs_18,0.570361217569051
MFCCs_19,0.3001661661485794
MFCCs_20,0.44271449708299015
MFCCs_21,0.12130244898372307
MFCCs_22,0.4789922369831083
RecordID,0.7803921027696293
